RWF_01;Buchenwälder und ein Wasserschloß;9;2.3;leicht bis mittel;9.3064414;49.9053067
RWF_02;Zeitreise im südlichen Spessart;14;3.5;leicht bis mittel;9.458232;49.8343004
RWF_03;Eisgraben, Vulkankuppen und Schwarzes Moor;23;6;mittel bis anspruchsvoll;10.0835205;50.5324955
RWF_04;Auf den heiligen Berg der Franken;10;2.75;mittel bis anspruchsvoll;10.0032259;50.3979907
RWF_05;Sinnenfreude im einstigen Pfarrgarten;12;3;leicht bis mittel;9.8021338;49.8641136
RWF_06;Auf dem Weinwanderweg;4;1;leicht;
RWF_07;Auf dem Mainwanderweg;18;5;leicht bis mittel;
RWF_09;Kunstgenuß und Geschichte im Weingarten;15;3.75;leicht;
RWF_10;Die barocke Runde;18;5;mittel;
RWF_11;Zisterzienser und versteckte Romantik;15;3.75;leicht;
RWF_12;Steile Rebhänge und eine schattige Hochfläche;15;4;mittel;
RWF_13;Auf den Spuren der Flößer;20;5;mittel;
RWF_14;Wilde Romantik im Höllental;8;2.25;mittel;
RWF_15;Einsame Runde am Fichtelgebirgsrand;19;5;leicht bis mittel;
RWF_16;In den geheimnisvollen Wäldern des zentralen Fichtelgebirges;14;4;mittel;
RWF_17;Felsenlabyrinth und Panoramablick;13;4;mittel bis anspruchsvoll;
RWF_18;Zur Giechburg und zum Gügel;12;3.1;leicht bis mittel;
RWF_19;Zu den Burgen alter Rittergeschlechter;13;3.25;leicht;
RWF_20;Karsthöhlen und romantische Täler;16;4;mittel;
RWF_22;Romantische Flußtäler und mittelalterliche Burgen;13;3.5;leicht;
RWF_23;Knoblauchsland und Kirschgärten;23;6;leicht;
RWF_24;Zeuge eines längst vergangenen Zeitalters;12;3;mittel;
RWF_25;Schluchtenromantik bei Nürnberg;15;3.75;leicht;
RWF_26;Vogelheimat zwischen Karpfenweihern;12;3;leicht;
RWF_27;Einblick in das Leben unserer bäuerlichen Vorfahren;4;1;leicht;
RWF_28;Auf den Spuren Tilman Riemenschneiders;12;3;leicht bis mittel;
RWF_30;Zur entlegenen Heimat eines großen Minnesängers;20;5;leicht;
RWF_31;Archäologie erwandern;15;3;leicht bis mittel;
RWF_32;Auf den Spuren der Römer;8;1.75;leicht;
